assembly_number,assembly_title,assembly_drawing_page,parts_list_page,item,part_number,description,pdf_link_to_drawing
2,FRONT END DRIVE ASSEMBLY,4,5,1*,610704052,WH MTR/RECPT ASSY 115/60,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,29,070001699,"SHAFT, SWEEP DRIVE",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,1A,070006219,MTR-115/230-50 COMB,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,30,907000900,KEY-HY PRO 910,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,2,000027655,RECEPTACLE-MALE,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,31,070001707,SPRING,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,2B,785501656,RECPT ASY-G.E. COMB,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,32,070006765,SHAFT PLATE,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,3A,090004521,RECEPTACLE MOUNT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,33,070006310,SPACER,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,3,000025590,RECEPTACLE HOUSING,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,34,810265240,SCREW SOC 3/8-16 X 1 1/2 - OBS,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,4,000027655,RECEPTACLE-MALE COMBO 5 PRONG,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,35,810265280,SCREW-SOC 3/8-16 X 1 3/4,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,5,823127062,SCREW 6-32 X 3/8 PHIL RD - OBS,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,36,809857125,SCREW-HX 5/16-18 X 3/4,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,5A,785502202,SCREW RDHD 3 X 10MM,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,37,809857405,SCREW-HX 5/16-18 X 2 1/2,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,6,828127062,SCREW-RDHD 6-32 X 3/8TYD,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,38,809865645,SCREW-HX 3/8-16 X 4,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,7,070001700,"SHAFT, TABLE DRIVE",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,39,809873405,SCREW-HX 1/2-13 X 2 1/2,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,8,070001910,SPOT RESPOT CAM,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,40,070003243,SCREW-CRANK ARM,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,9,070001562,"CAP, CAM HUB - OBS",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,41,809857165,SCREW-HX 5/16-18 X 1,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,10,070006499,SPOT&RESPOT LINK ASY - OBS,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,42,818239122,SCREW-SMRD 10-24 X 3/4,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,11,070006407,CAP-CAM HUB,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,43,844057002,5/16-,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,18,STOVER,LOCKNUT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,12,070006427,"CAM, SHUTTLE",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,44,844065002,3/8-,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,16,STOVER,LOCK NUT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,13,070006420,CAM SWITCH ASSY,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,45,835549002,1/4-20 JAM NUT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,14,070006417,TABLE CAM WELD,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,46,844073002,1/2-,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,13,STOVER,LOCKNUT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,15,070001664,CLAMP STUD,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,47,840039002,10-24 FLEX NUT TN,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,16,070006493,BALL-JOINT ASY,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,48,948761112,5/,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,16,WASHER,17,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,49,710501004,FITTNG-ALMTE,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,18,000021744,"BEARING, SELF ALIGNG",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,50,880239140,SCREW 1/4 X 1/2 LG. SHOULDER BOLT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,19,000021683,"RETAINER, BEARING",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,51,843139002,"NUT, KEPS EXT. LKWSHR (#10-24)",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,20,000021905,BEARING (LOCKING COLLAR),8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,52,718506006,ELBOW - ST 90 DE. 6 1/4,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,21,070001840,TABLE DRIVE ASY,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,53,070007761,BRKT.SPOT RESPOT SPRING HANGER KIT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,22,190001490,"BEARING, TABLE DRIVE 610704103 KIT-SPRING ROLLER PIN REPAIR KIT",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,23,070007310,"BUSHING 030003943 CRANK, MOTOR",8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,24,070007311,SLEEVE,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,26,070006449,CAM WELD-SB&SC SWEEP,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,NOT SHOWN,070005585,END MACHINE GUARD,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,27,070006450,CAM WELD-SA SWEEP 610700153 END MACHINE KIT,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,28,000023139,ARM-CRANK,8270parts.pdf#page=4
2,FRONT END DRIVE ASSEMBLY,4,5,12,QUARTS,www.amf.com• 800.DIALAMF• 82-70 PARTS ASSEMBLY,8270parts.pdf#page=4
4,SPOT & RESPOT LINK ASSEMBLY,6,6,1,070006478,BRACKET,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,13,070006481,LINK ARM-SPOT ASSY,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,2,070006496,SCREW-HX 3/8-16 X 7,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,14,070001585,PIN-SPOT LINK,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,3,070006457,SHAFT,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,15,844073002,1/2-,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,13,STOVER,LOCKNUT,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,4,839665002,NUT-FLX 3/8-16,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,16,610704002,CAM FOLLOWER ASSEMBLY,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,5,070006492,LINK ARM-RESPOT ASSY,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,17,710501012,FITTNG-ALMTE,8270parts.pdf#page=6
4,SPOT & RESPOT LINK ASSEMBLY,6,6,6,070001919,FLANGED BUSHING,8270parts.pdf#page=6
